phrase,meaning,example
throw shade #2350,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2351,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2352,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2353,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2354,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2355,거짓말,He said he met Beyoncé. That’s cap.
no cap #2356,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2357,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2358,거짓말,He said he met Beyoncé. That’s cap.
flex #2359,과시하다,He likes to flex his new watch.
low-key #2360,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2361,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2362,거짓말,He said he met Beyoncé. That’s cap.
high-key #2363,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2364,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2365,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2366,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2367,이전과 다르게 느껴지다,This song just hits different at night.
flex #2368,과시하다,He likes to flex his new watch.
no cap #2369,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #2370,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2371,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2372,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #2373,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #2374,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #2375,거짓말,He said he met Beyoncé. That’s cap.
high-key #2376,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2377,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2378,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2379,거짓말,He said he met Beyoncé. That’s cap.
no cap #2380,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #2381,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #2382,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #2383,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2384,거짓말,He said he met Beyoncé. That’s cap.
cap #2385,거짓말,He said he met Beyoncé. That’s cap.
flex #2386,과시하다,He likes to flex his new watch.
on fleek #2387,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2388,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2389,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2390,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2391,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #2392,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2393,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2394,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2395,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2396,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2397,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #2398,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2399,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
low-key #2400,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #2401,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #2402,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2403,거짓말,He said he met Beyoncé. That’s cap.
cap #2404,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2405,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2406,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #2407,과시하다,He likes to flex his new watch.
on fleek #2408,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2409,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2410,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2411,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2412,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #2413,이전과 다르게 느껴지다,This song just hits different at night.
flex #2414,과시하다,He likes to flex his new watch.
cap #2415,거짓말,He said he met Beyoncé. That’s cap.
on fleek #2416,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #2417,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2418,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2419,과시하다,He likes to flex his new watch.
cap #2420,거짓말,He said he met Beyoncé. That’s cap.
no cap #2421,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2422,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2423,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2424,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2425,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2426,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2427,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2428,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2429,과시하다,He likes to flex his new watch.
flex #2430,과시하다,He likes to flex his new watch.
on fleek #2431,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2432,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2433,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2434,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2435,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2436,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2437,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2438,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2439,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2440,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #2441,과시하다,He likes to flex his new watch.
ghost someone #2442,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2443,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2444,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2445,과시하다,He likes to flex his new watch.
no cap #2446,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #2447,과시하다,He likes to flex his new watch.
hit different #2448,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2449,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #2450,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2451,과시하다,He likes to flex his new watch.
high-key #2452,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2453,과시하다,He likes to flex his new watch.
high-key #2454,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2455,과시하다,He likes to flex his new watch.
spill the tea #2456,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2457,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2458,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #2459,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2460,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2461,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2462,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2463,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2464,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2465,과시하다,He likes to flex his new watch.
ghost someone #2466,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2467,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2468,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2469,과시하다,He likes to flex his new watch.
ghost someone #2470,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2471,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2472,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2473,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2474,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2475,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2476,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2477,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2478,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2479,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #2480,과시하다,He likes to flex his new watch.
on fleek #2481,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2482,과시하다,He likes to flex his new watch.
ghost someone #2483,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2484,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2485,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #2486,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2487,과시하다,He likes to flex his new watch.
on fleek #2488,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2489,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2490,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2491,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2492,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2493,거짓말,He said he met Beyoncé. That’s cap.
no cap #2494,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2495,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2496,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2497,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2498,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2499,이전과 다르게 느껴지다,This song just hits different at night.
high-key #2500,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2501,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #2502,거짓말,He said he met Beyoncé. That’s cap.
flex #2503,과시하다,He likes to flex his new watch.
flex #2504,과시하다,He likes to flex his new watch.
on fleek #2505,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2506,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2507,거짓말,He said he met Beyoncé. That’s cap.
hit different #2508,이전과 다르게 느껴지다,This song just hits different at night.
flex #2509,과시하다,He likes to flex his new watch.
high-key #2510,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2511,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2512,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2513,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #2514,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #2515,과시하다,He likes to flex his new watch.
cap #2516,거짓말,He said he met Beyoncé. That’s cap.
flex #2517,과시하다,He likes to flex his new watch.
ghost someone #2518,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2519,이전과 다르게 느껴지다,This song just hits different at night.
cap #2520,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2521,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2522,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2523,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #2524,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2525,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2526,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2527,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #2528,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #2529,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2530,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #2531,거짓말,He said he met Beyoncé. That’s cap.
cap #2532,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2533,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #2534,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2535,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #2536,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2537,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2538,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #2539,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2540,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2541,과시하다,He likes to flex his new watch.
hit different #2542,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2543,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2544,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2545,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2546,과시하다,He likes to flex his new watch.
on fleek #2547,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2548,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #2549,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #2550,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2551,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2552,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2553,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2554,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2555,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2556,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2557,과시하다,He likes to flex his new watch.
cap #2558,거짓말,He said he met Beyoncé. That’s cap.
on fleek #2559,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #2560,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #2561,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #2562,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2563,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2564,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2565,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2566,과시하다,He likes to flex his new watch.
cap #2567,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2568,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #2569,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2570,과시하다,He likes to flex his new watch.
no cap #2571,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #2572,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2573,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #2574,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2575,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2576,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #2577,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2578,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2579,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2580,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #2581,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2582,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2583,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #2584,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2585,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2586,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2587,과시하다,He likes to flex his new watch.
high-key #2588,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #2589,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2590,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2591,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2592,거짓말,He said he met Beyoncé. That’s cap.
low-key #2593,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #2594,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2595,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2596,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #2597,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #2598,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2599,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2600,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2601,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2602,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2603,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #2604,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2605,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
low-key #2606,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2607,이전과 다르게 느껴지다,This song just hits different at night.
cap #2608,거짓말,He said he met Beyoncé. That’s cap.
high-key #2609,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2610,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2611,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2612,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2613,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2614,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2615,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2616,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2617,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2618,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #2619,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2620,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2621,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2622,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2623,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2624,과시하다,He likes to flex his new watch.
throw shade #2625,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2626,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2627,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2628,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #2629,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2630,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2631,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2632,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2633,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #2634,거짓말,He said he met Beyoncé. That’s cap.
cap #2635,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2636,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2637,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2638,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2639,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2640,이전과 다르게 느껴지다,This song just hits different at night.
flex #2641,과시하다,He likes to flex his new watch.
cap #2642,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2643,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2644,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2645,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2646,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2647,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #2648,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2649,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2650,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2651,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2652,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2653,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2654,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #2655,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2656,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #2657,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2658,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2659,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2660,과시하다,He likes to flex his new watch.
low-key #2661,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #2662,"대놓고, 확실하게",I'm high-key excited for the trip.
high-key #2663,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2664,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2665,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2666,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2667,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #2668,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #2669,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2670,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2671,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2672,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2673,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2674,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #2675,과시하다,He likes to flex his new watch.
throw shade #2676,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #2677,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #2678,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2679,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2680,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2681,이전과 다르게 느껴지다,This song just hits different at night.
flex #2682,과시하다,He likes to flex his new watch.
hit different #2683,이전과 다르게 느껴지다,This song just hits different at night.
on fleek #2684,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2685,과시하다,He likes to flex his new watch.
ghost someone #2686,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2687,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2688,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2689,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2690,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2691,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2692,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2693,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2694,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2695,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2696,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2697,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #2698,과시하다,He likes to flex his new watch.
cap #2699,거짓말,He said he met Beyoncé. That’s cap.
no cap #2700,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2701,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2702,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2703,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2704,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2705,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2706,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2707,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #2708,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2709,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2710,과시하다,He likes to flex his new watch.
ghost someone #2711,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2712,거짓말,He said he met Beyoncé. That’s cap.
high-key #2713,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2714,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
throw shade #2715,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2716,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2717,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2718,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2719,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #2720,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #2721,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2722,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #2723,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #2724,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2725,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2726,과시하다,He likes to flex his new watch.
throw shade #2727,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2728,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #2729,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2730,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2731,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2732,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2733,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #2734,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2735,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2736,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2737,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #2738,과시하다,He likes to flex his new watch.
high-key #2739,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #2740,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2741,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #2742,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2743,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2744,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2745,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #2746,과시하다,He likes to flex his new watch.
spill the tea #2747,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2748,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #2749,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #2750,과시하다,He likes to flex his new watch.
hit different #2751,이전과 다르게 느껴지다,This song just hits different at night.
flex #2752,과시하다,He likes to flex his new watch.
high-key #2753,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #2754,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2755,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
